256 256
153 33 2
152.515 32.858 2.47179
152.03 32.7551 2.91746
151.545 32.6915 3.33701
151.061 32.667 3.73044
150.576 32.6817 4.09774
150.091 32.7355 4.43893
149.606 32.8286 4.754
149.121 32.9608 5.04295
148.636 33.1322 5.30579
148.152 33.3428 5.5425
147.667 33.5926 5.75309
147.182 33.8815 5.93756
146.697 34.2033 6.10101
146.212 34.5339 6.26263
145.727 34.871 6.42424
145.242 35.2146 6.58586
144.758 35.5648 6.74747
144.273 35.9215 6.90909
143.788 36.2847 7.07071
143.303 36.6545 7.23232
142.818 37.0308 7.39394
142.333 37.4136 7.55556
141.848 37.8029 7.71717
141.364 38.1988 7.87879
140.879 38.601 8.03979
140.394 39.0051 8.18672
139.909 39.4091 8.31405
139.424 39.8131 8.42179
138.939 40.2172 8.50995
138.455 40.6212 8.57851
137.97 41.0252 8.62749
137.485 41.4293 8.65687
137 41.8333 8.66667
136.515 42.2374 8.65687
136.03 42.6414 8.62749
135.545 43.0455 8.57851
135.061 43.4495 8.50995
134.573 43.8535 8.43179
134.079 44.2576 8.35996
133.579 44.6616 8.29466
133.072 45.0657 8.23589
132.559 45.4697 8.18365
132.039 45.8737 8.13795
131.512 46.2778 8.09877
130.979 46.6818 8.06612
130.44 47.0859 8.04
129.894 47.4899 8.02041
129.341 47.8939 8.00735
128.782 48.298 8.00082
128.22 48.7037 8.00082
127.681 49.1208 8.00735
127.167 49.5509 8.02041
126.68 49.9941 8.04
126.219 50.4504 8.06612
125.784 50.9198 8.09877
125.375 51.4021 8.13794
124.992 51.8976 8.18365
124.635 52.4061 8.23589
124.305 52.9277 8.29466
124 53.4624 8.35996
123.722 54.0101 8.43179
123.469 54.5699 8.50964
123.211 55.0744 8.55372
122.926 55.4809 8.53903
122.615 55.7894 8.46556
122.278 56 8.33333
121.915 56.1126 8.14233
121.525 56.1273 7.89256
121.11 56.0441 7.58402
120.668 55.8629 7.21671
120.2 55.5837 6.79063
119.707 55.2066 6.30578
119.187 54.7316 5.76217
118.641 54.1586 5.15978
118.083 53.5188 4.53352
117.55 52.8887 3.96868
117.043 52.2716 3.46914
116.562 51.6676 3.03489
116.108 51.0766 2.66595
115.679 50.4987 2.36231
115.277 49.9339 2.12397
114.901 49.3821 1.95092
114.55 48.8434 1.84318
114.226 48.3177 1.80073
113.928 47.8051 1.82359
113.657 47.3056 1.91174
113.41 46.8182 2.05877
113.173 46.3333 2.19753
112.943 45.8485 2.31017
112.719 45.3636 2.39669
112.502 44.8788 2.4571
112.291 44.3939 2.49138
112.087 43.9091 2.49954
111.89 43.4242 2.48158
111.699 42.9394 2.43751
111.514 42.4545 2.36731
111.336 41.9697 2.27099
111.165 41.4849 2.14856
111 41 2
122 56 9
122 56.5256 9.09419
122 57.0486 9.20099
122 57.5693 9.32017
122 58.0877 9.45148
122.001 58.6039 9.59468
122.001 59.1179 9.74955
122.001 59.6299 9.91583
122.002 60.1399 10.0933
122.003 60.6481 10.2817
122.004 61.1544 10.4808
122.006 61.6591 10.6904
122.007 62.1622 10.9102
122.009 62.6638 11.14
122.011 63.1639 11.3796
122.014 63.6627 11.6287
122.017 64.1602 11.887
122.021 64.6566 12.1544
122.024 65.1519 12.4306
122.029 65.6462 12.7153
122.033 66.1396 13.0084
122.039 66.6322 13.3096
122.044 67.1241 13.6186
122.051 67.6153 13.9352
122.058 68.1059 14.2592
122.065 68.5962 14.5903
122.073 69.086 14.9283
122.082 69.5755 15.273
122.092 70.0649 15.6241
122.102 70.5541 15.9814
122.113 71.0433 16.3446
122.125 71.5326 16.7135
122.137 72.022 17.0879
122.15 72.5117 17.4675
122.164 73.0016 17.8521
122.179 73.492 18.2415
122.195 73.9828 18.6354
122.211 74.474 19.0339
122.229 74.9656 19.4368
122.246 75.4576 19.844
122.265 75.95 20.2553
122.284 76.4427 20.6707
122.304 76.9357 21.09
122.324 77.4291 21.5131
122.344 77.9228 21.94
122.365 78.4168 22.3705
122.386 78.9111 22.8044
122.407 79.4056 23.2417
122.429 79.9005 23.6823
122.451 80.3956 24.1261
122.473 80.8909 24.5728
122.495 81.3865 25.0225
122.516 81.8823 25.4751
122.538 82.3783 25.9303
122.56 82.8745 26.3881
122.582 83.3708 26.8484
122.603 83.8673 27.311
122.625 84.364 27.7759
122.646 84.8608 28.2429
122.666 85.3578 28.712
122.686 85.8549 29.1829
122.706 86.352 29.6557
122.726 86.8493 30.1301
122.744 87.3467 30.6061
122.763 87.8441 31.0836
122.78 88.3416 31.5624
122.797 88.8391 32.0424
122.813 89.3366 32.5236
122.828 89.8341 33.0057
122.843 90.3317 33.4888
122.857 90.8293 33.9727
122.87 91.3268 34.4574
122.882 91.8244 34.9427
122.894 92.322 35.4288
122.905 92.8195 35.9155
122.916 93.3171 36.4027
122.926 93.8146 36.8905
122.936 94.3122 37.3788
122.946 94.8098 37.8674
122.956 95.3073 38.3565
122.966 95.8049 38.8458
122.975 96.3024 39.3355
122.985 96.8 39.8253
122.995 97.2976 40.3154
123.006 97.7951 40.8055
123.016 98.2927 41.2957
123.027 98.7902 41.786
123.039 99.2878 42.2762
123.051 99.7854 42.7663
123.063 100.283 43.2563
123.077 100.78 43.7462
123.091 101.278 44.2357
123.106 101.776 44.7251
123.122 102.273 45.214
123.139 102.771 45.7026
123.157 103.268 46.1908
123.176 103.766 46.6785
123.196 104.263 47.1657
123.218 104.761 47.6523
123.241 105.259 48.1382
123.265 105.756 48.6235
123.291 106.254 49.108
123.319 106.751 49.5918
123.348 107.249 50.0747
123.379 107.746 50.5568
123.412 108.244 51.0381
123.446 108.741 51.5187
123.481 109.239 51.9986
123.517 109.737 52.4779
123.555 110.234 52.9566
123.594 110.732 53.4347
123.634 111.229 53.9124
123.674 111.727 54.3897
123.716 112.224 54.8665
123.758 112.722 55.3431
123.8 113.22 55.8193
123.843 113.717 56.2954
123.887 114.215 56.7712
123.931 114.712 57.2469
123.974 115.21 57.7226
124.018 115.707 58.1982
124.062 116.205 58.6738
124.106 116.702 59.1495
124.149 117.2 59.6253
124.192 117.698 60.1013
124.235 118.195 60.5775
124.277 118.693 61.054
124.319 119.19 61.5309
124.36 119.688 62.008
124.399 120.185 62.4856
124.438 120.683 62.9637
124.476 121.18 63.4423
124.513 121.678 63.9215
124.549 122.176 64.4013
124.583 122.673 64.8818
124.616 123.171 65.363
124.647 123.668 65.8449
124.676 124.166 66.3277
124.704 124.663 66.8113
124.731 125.161 67.2958
124.756 125.659 67.7812
124.779 126.156 68.2674
124.802 126.654 68.7545
124.823 127.152 69.2424
124.843 127.65 69.7312
